model,scheme,L,loss,ppl
92-rope,plain,256,4.555,95.1
92-rope,plain,384,4.547,94.4
92-rope,plain,512,4.574,96.9
92-rope,plain,768,4.566,96.2
92-rope,plain,1024,4.846,127.2
92-rope,plain,1536,5.057,157.1
92-rope,plain,2048,5.034,153.6
92-rope,theta1e4,256,5.034,153.5
92-rope,theta1e4,384,5.099,163.8
92-rope,theta1e4,512,5.09,162.4
92-rope,theta1e4,768,5.062,158.0
92-rope,theta1e4,1024,5.312,202.8
92-rope,theta1e4,1536,5.481,240.1
92-rope,theta1e4,2048,5.407,222.9
92-rope,yarn4,256,4.604,99.8
92-rope,yarn4,384,4.569,96.5
92-rope,yarn4,512,4.476,87.8
92-rope,yarn4,768,4.304,74.0
92-rope,yarn4,1024,4.418,82.9
92-rope,yarn4,1536,4.538,93.5
92-rope,yarn4,2048,4.603,99.8
92-rope,yarn8,256,4.63,102.6
92-rope,yarn8,384,4.607,100.1
92-rope,yarn8,512,4.519,91.7
92-rope,yarn8,768,4.364,78.6
92-rope,yarn8,1024,4.489,89.1
92-rope,yarn8,1536,4.529,92.7
92-rope,yarn8,2048,4.42,83.1
